unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786242394,3338728,14240,83886080,22223470592,1539,0,667,667,63,7.1,617882,2155872256,570425344,33554432,6291768
1786242404,3338728,14240,83886080,22223470592,1539,0,670,670,55,7.1,618383,2155872256,570425344,33554432,4718826
1786242414,3338728,14240,83886080,22223470592,1539,0,671,671,82,7.1,619296,2155872256,570425344,33554432,6816082
1786242424,3338728,14240,83886080,22223470592,1539,0,675,675,73,7.1,619426,2155872256,570425344,33554432,6816082
1786242434,3338728,14240,83886080,22223470592,1539,0,679,679,67,7.2,624477,2155872256,570425344,33554432,6816082
1786242444,3338728,14240,83886080,22223470592,1539,0,683,683,65,7.2,619953,2155872256,570425344,33554432,6816082
1786242455,3338728,14240,83886080,22223470592,1539,0,687,687,58,7.2,619548,2155872256,570425344,33554432,6816082
1786242465,3338728,14240,83886080,22223470592,1539,0,691,691,54,7.2,621724,2155872256,570425344,33554432,6816082
1786242475,3338844,14240,83886080,22223470592,1539,0,693,693,69,7.2,620552,2155872256,570425344,33554432,6816082
1786242485,3339136,14240,83886080,22223470592,1539,0,697,697,63,7.2,621029,2155872256,570425344,33554432,6291768
1786242495,3339400,14240,83886080,22223470592,1539,0,699,699,77,7.2,617908,2155872256,570425344,33554432,6816082
1786242505,3339612,14240,83886080,22223470592,1539,0,703,703,71,7.2,619614,2155872256,570425344,33554432,6816082
1786242515,3339668,14240,83886080,22223470592,1539,0,706,705,80,7.2,624872,2155872256,570425344,33554432,5243140
1786242525,3339736,14240,83886080,22223470592,1539,0,709,709,71,7.2,619405,2155872256,570425344,33554432,6816082
